EmployeeNumber,Surname,GivenName,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours,BusinessUnit
1,Gutierrez,Molly,F,Burnaby,Baker,Bakery,Burnaby,Stores,32.02881569,6.018478474,36.57730606,Stores
2,Hardwick,Stephen,M,Courtenay,Baker,Bakery,Nanaimo,Stores,40.32090167,5.532444578,30.16507231,Stores
3,Delgado,Chester,M,Richmond,Baker,Bakery,Richmond,Stores,48.82204661,4.389973118,83.80779766,Stores
4,Simon,Irene,F,Victoria,Baker,Bakery,Victoria,Stores,44.59935722,3.081735738,70.02016505,Stores
5,Delvalle,Edward,M,New Westminster,Baker,Bakery,New Westminster,Stores,35.69787561,3.619091448,0,Stores
6,Jones,Ernie,M,Richmond,Baker,Bakery,Richmond,Stores,48.44031059,2.717692452,81.83007916,Stores
7,Buford,Ralph,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50.75273,10.157918,60.49507152,HeadOffice
8,Lee,Gregory,M,Sechelt,Baker,Bakery,West Vancouver,Stores,36.2160312,4.432122862,30.07290192,Stores
9,Smith,Jerry,M,New Westminster,Baker,Bakery,New Westminster,Stores,58.42738025,6.940120524,181.630819,Stores
10,Beard,Robert,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,39.85398,13.848321,30.66440832,HeadOffice
11,Mathis,John,M,New Westminster,Baker,Bakery,New Westminster,Stores,46.54758052,4.872038321,28.01835332,Stores
12,Barajas,John,M,Kamloops,Baker,Bakery,Kamloops,Stores,15,3.793042148,0,Stores
13,Leonard,James,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,37.72801116,3.621141838,0,Stores
14,Davis,Janet,F,Vananda,Baker,Bakery,Nanaimo,Stores,30.78519091,4.583328091,34.33444296,Stores
15,Bell,Thomas,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,49.92338,4.883225,0,HeadOffice
16,Combs,Danny,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,42.79789,19.107198,21.65982312,HeadOffice
17,Vivanco,Anne,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,48.6213,9.940272,0,HeadOffice
18,Craig,Bobbie,F,West Vancouver,Baker,Bakery,West Vancouver,Stores,41.85581217,2.559053659,55.09983109,Stores
19,Jones,Ilona,F,New Westminster,Baker,Bakery,New Westminster,Stores,51.00873723,5.30277286,81.59554037,Stores
20,Watkins,Jan,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,36.91041,11.22628,94.66856131,HeadOffice
21,Callaway,Jesus,M,Burnaby,Baker,Bakery,Burnaby,Stores,57.90324297,3.300303735,108.3801763,Stores
22,Hammett,Josephine,F,New Westminster,Baker,Bakery,New Westminster,Stores,24.47030259,3.147510228,0,Stores
23,Jarman,Sandra,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,49.51672,6.5335,67.74078948,HeadOffice
24,Butler,Jennifer,F,Victoria,Baker,Bakery,Victoria,Stores,60.5955091,4.465036581,158.7045089,Stores
25,Simons,Larry,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,35.80466401,4.626920266,0,Stores
26,Mason,Penny,F,Aldergrove,Baker,Bakery,Aldergrove,Stores,35.87338778,3.101925634,48.0170507,Stores
27,Burton,Theodore,M,Kelowna,Baker,Bakery,Kelowna,Stores,41.93560641,4.557230329,42.78802656,Stores
28,Hunt,Joseph,M,Trail,Baker,Bakery,Trail,Stores,35.49790596,5.174673648,34.52427221,Stores
29,Loiselle,Thomas,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,40.02887,12.185467,59.88316464,HeadOffice
30,Nguyen,William,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,49.75658466,4.313617694,100.6740987,Stores
31,Schrupp,James,M,Penticton,Baker,Bakery,Kelowna,Stores,38.11173232,3.493533521,9.522523814,Stores
32,Donaldson,Adriana,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,42.8715,19.006436,38.88332344,HeadOffice
33,Thompson,Felipe,M,Duncan,Baker,Bakery,Quesnel,Stores,49.94274462,5.775266268,129.8357633,Stores
34,Livingston,Lester,M,Kelowna,Baker,Bakery,Kelowna,Stores,77,3.203849714,44.2731088,Stores
35,Ashley,Emma,F,Crawford Bay,Baker,Bakery,Cranbrook,Stores,23.74733283,2.992041355,0,Stores
36,Davis,Jeffery,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,36.196064,18.196064,0,HeadOffice
37,Farris,Augustina,F,Courtenay,Baker,Bakery,Nanaimo,Stores,51.56495808,4.641869886,75.25704812,Stores
38,Colman,Katherine,F,Port Hardy,Baker,Bakery,Nanaimo,Stores,40.41201341,6.192268184,58.97153025,Stores
39,Martin,Daniel,M,Kelowna,Baker,Bakery,Kelowna,Stores,52.44651862,4.29126449,134.6683839,Stores
40,Atencio,Morris,M,Logan Lake,Baker,Bakery,Kamloops,Stores,20.02556154,4.483391669,0,Stores
41,Harrod,Gloria,F,Abbotsford,Baker,Bakery,Abbotsford,Stores,44.60660014,4.862142071,78.34173929,Stores
42,Bell,Angelo,M,Dawson Creek,Baker,Bakery,Dawson Creek,Stores,67.08801208,2.183958352,168.9957664,Stores
43,Kelley,Virginia,F,Burnaby,Baker,Bakery,Burnaby,Stores,41.25328235,2.018782807,56.21994065,Stores
44,Turner,Stephen,M,Surrey,Baker,Bakery,Surrey,Stores,62.05182058,5.473604647,152.6467667,Stores
45,Mortimer,Cecilia,F,Victoria,Baker,Bakery,Victoria,Stores,28.07544199,5.776657666,0,Stores
46,Stutts,Belle,F,Surrey,Baker,Bakery,Surrey,Stores,49.90577748,5.357402979,80.24254043,Stores
47,Bryant,John,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50.07982,1,78.7532824,HeadOffice
48,Nolan,John,M,Squamish,Baker,Bakery,Squamish,Stores,33.80945018,5.654808747,0,Stores
49,Allison,Connie,F,Good Hope Lake,Baker,Bakery,Terrace,Stores,51.60595642,3.9855896,88.91127783,Stores
50,McAllister,Greg,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,38.678832,20.678832,21.38553248,HeadOffice
51,Murry,Adam,M,Burnaby,Baker,Bakery,Burnaby,Stores,30.29765034,7.560140987,3.737100223,Stores
52,Price,David,M,Penticton,Baker,Bakery,Kelowna,Stores,43.68608721,0.385746182,38.06658377,Stores
53,McCoy,Corey,M,New Westminster,Baker,Bakery,New Westminster,Stores,50.04741662,5.702536846,116.2269635,Stores
54,Baker,Linda,F,Nanaimo,Baker,Bakery,Nanaimo,Stores,34.68894529,4.721105791,0,Stores
55,Shultz,Charles,M,Abbotsford,Baker,Bakery,Abbotsford,Stores,29.32983419,3.28103742,0,Stores
56,Medina,Bonita,F,Sidney,Baker,Bakery,Victoria,Stores,50.01054543,3.653801673,77.13030678,Stores
57,Houston,Harold,M,Coquitlam,Baker,Bakery,Nanaimo,Stores,24.50853,4.796216863,0,Stores
58,Mejia,James,M,Chilliwack,Baker,Bakery,Chilliwack,Stores,42.62840469,4.124606978,24.79287091,Stores
59,Bates,Charles,M,Okanagan Mission,Baker,Bakery,Kelowna,Stores,54.04930086,4.060790515,121.4480075,Stores
60,Ross,Robert,M,New Westminster,Baker,Bakery,New Westminster,Stores,43.91047001,4.197598793,59.7836809,Stores
61,Heller,Joseph,M,Ganges,Baker,Bakery,Victoria,Stores,42.59140213,5.101161761,55.62426288,Stores
62,Murray,Faye,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,55.76305,10.623616,0,HeadOffice
63,Allen,Michelle,F,Prince George,Baker,Bakery,Prince George,Stores,31.16665889,0.775517909,0,Stores
64,Jones,Harvey,M,Atlin,Baker,Bakery,Terrace,Stores,43.26243975,5.843569409,55.05895104,Stores
65,Nystrom,Jane,F,Kamloops,Baker,Bakery,Kamloops,Stores,35.61924833,3.679095448,44.6346054,Stores
66,Albright,Paul,M,Whistler,Baker,Bakery,Squamish,Stores,39.26200269,5.748053523,42.45739254,Stores
67,Lovely,Janet,F,Surrey,Baker,Bakery,Surrey,Stores,22.5364126,5.897640636,0,Stores
68,Strayhorn,Billie,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,39.73937,11.885504,0,HeadOffice
69,Jones,Tammy,F,Spences Bridge,Baker,Bakery,Kamloops,Stores,46.94959435,2.024655355,107.7955005,Stores
70,Gay,Donald,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,44.10973,12.305714,78.84098352,HeadOffice
71,Green,Earnest,M,New Westminister,Baker,Bakery,New Westminister,Stores,52.78875734,4.589520028,110.1543068,Stores
72,Riley,Wendy,F,Gibsons,Baker,Bakery,West Vancouver,Stores,35.63044266,3.947661015,33.93440994,Stores
73,Malizia,Randall,M,Vernon,Baker,Bakery,Vernon,Stores,42.4342557,3.387128544,28.60483097,Stores
74,Lopez,Florence,F,Burnaby,Baker,Bakery,Burnaby,Stores,40.96753752,3.285283682,44.9874293,Stores
75,Howell,Carol,F,Fauquier,Baker,Bakery,Trail,Stores,46.77086356,1.991692074,126.5011301,Stores
76,Chico,Joyce,F,Victoria,Baker,Bakery,Victoria,Stores,45.3008103,5.567973876,19.6191458,Stores
77,White,Anthony,M,Kamloops,Baker,Bakery,Kamloops,Stores,38.29655279,6.095617444,0,Stores
78,Smith,Danny,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,35.4939,8.348239,44.97411152,HeadOffice
79,Porter,Ana,F,Mackenzie,Baker,Bakery,Prince George,Stores,41.66134173,4.711743887,45.95478779,Stores
80,Depaz,Shari,F,New Westminster,Baker,Bakery,New Westminster,Stores,43.5118766,1.778630937,83.3173005,Stores
81,Witkowski,Alice,F,Squamish,Baker,Bakery,Squamish,Stores,54.00481868,2.870591513,136.3424045,Stores
82,Alvarez,Kenneth,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,46.22423463,4.416249838,53.3120259,Stores
83,Morales,Soledad,F,Gold Bridge,Baker,Bakery,Kamloops,Stores,47.65733071,4.252453434,96.6132406,Stores
84,Burden,Alexis,F,Penticton,Baker,Bakery,Kelowna,Stores,51.99137493,2.964089468,140.9111414,Stores
85,Dyal,William,M,Victoria,Baker,Bakery,Victoria,Stores,33.3683369,2.301876593,31.69229831,Stores
86,Hayden,Kenneth,M,New Westminster,Baker,Bakery,New Westminster,Stores,47.6040848,4.149329545,12.68410865,Stores
87,Caban,Joshua,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,34.6622,13.828331,54.30033232,HeadOffice
88,Knight,Mildred,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,37.24006,18.641316,0,HeadOffice
89,Thurmond,Linda,F,Duncan,Baker,Bakery,Quesnel,Stores,45.47882196,6.837239767,103.3493697,Stores
90,Monroe,Terra,F,Kelowna,Baker,Bakery,Kelowna,Stores,26.91367155,3.983950436,0,Stores
91,Velez,Colleen,F,Good Hope Lake,Baker,Bakery,Terrace,Stores,37.74242382,3.569517999,49.84641191,Stores
92,Martin,Lisa,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,40.49192,1.223785,58.28770605,HeadOffice
93,Godfrey,Ramon,M,Victoria,Baker,Bakery,Victoria,Stores,48.62992513,5.534431308,110.8124796,Stores
